"item_code","deskripsi","qty_on_hand","min_stock","selisih","lokasi_rak"
"O-52200-00","FESTO -  Proximity Sensor SME-8M-DS-24V-K-0,3-M8D p/n: 543861; ; ;","1","1","0","B-2-4A"
"O-52250-00","Tunnel ST1L - END Module 750-600 Wago","1","1","0","B-3-6C"
"O-52355-00","Solenoid Valve type 55B-24-PE-611JB MAC","1","1","0","A-2-5"
"O-52942-00","Freeze Dryer MBE1207 - Pressure Transmitter Type : 402050/000 TN: 43008803 04 bar absolute 420 mA, 2; JUMO; ;","1","1","0","D-3-4"
"O-53144-00","Tunnel ST1L - Sensor RTD 100 ohm double element With Nepple 3x150 mm 6 wire; Custom/Lokal; 0621043011; 1 Pc = 10 M","1","1","0","-"
"O-53194-00","cRABS z064CR - Pressure Transmitter 0-500 Pa P-Sensor/PIZ (2 wires); Steriline; 20075; 1 pc","1","1","0","B-1"
"O-53197-00","Tunnel ST1L - Pressure Transmitter 0-250Pa output 4-20 P-Sensor/PIZ (2 Wires); Steriline; 12320; 1 pc","1","1","0","B-1"
"O-53198-00","Tunnel ST1L - Pressure Transmitter 0-100Pa output 4-20 P-Sensor-PIZ (2 Wires); Steriline; 1667; 1 pc","1","1","0","B-1"
"O-53200-00","Tunnel ST1L - Gear Motor N100/So-UFR1 24Vac 50Hz 15Nm 0.5U/min (R1:1000) Metal Cover; Steriline; 19475; 1 pc","1","1","0","B-2-8A"
"O-53439-00","General - Photoelectric Fiber Sensor Head; Keyence; FU-7F; 1 Pc","1","1","0","-"
"O-53441-00","Autoclave Service NA2247AU - Pressure Transducer MOD. PBMH 24; Fedegari; CD230063; 1 Pc","1","1","0","H-3-6"
