"item_code","deskripsi","qty_on_hand","min_stock","max_stock","is_critical","lokasi_rak"
"P-18789-00","Gland Packing Teflon PTFE 4x4 mm; ; ;","0","0","0","Tidak","-"
"P-18834-00","Gland Packing Teflon PTFE 6x6; ; ;","5","0","0","Tidak","-"
"P-18833-00","Gland Packing Teflon PTFE 8x8; ; ;","0","0","0","Tidak","-"
"Q-50027-00","Glass Lock atau Grendel Pintu Kaca Tanpa Bingkai; Dekkson; GL621CP; pc","0","0","0","Tidak","-"
"P-18646-00","Global Power Supply PN. 6R_SA2120-01C; ; ;","0","0","0","Tidak","-"
"O-15681-00","Glove housing gasket; Thickness 2 mm, glove port dia 250 mm","0","0","0","Tidak","-"
"O-52139-00","GMP Washer - Adjustable Themostat IMIT 70/210? C TR2540140/B p/n:012099","0","0","0","Tidak","-"
"O-52175-00","GMP Washer - Adjustable Thermostat; 0/+60?C 1-NO KTS011 STEGO p/n:013565","0","0","0","Tidak","-"
"O-52158-00","GMP Washer - AI Module Simatic S7-1500 8XU/I/RTD/TC ST 6ES75317KF000AB0 Siemens p/n:013509","0","0","0","Tidak","-"
"O-52167-00","GMP Washer - Air Heating Element 230V 1300W DHEp/n:010459","0","0","0","Tidak","-"
"O-52156-00","GMP Washer - AQ Module Simatic S7-1500 4XU/I ST 6ES75325HD000AB0 Siemens p/n:013510","0","0","0","Tidak","-"
"O-52135-00","GMP Washer - Buzzer 24 VAC/DC 80 DB IP65 Werma p/n:10701075;013489","0","0","0","Tidak","-"
"O-52830-00","GMP Washer - Chemical Flowmeter 932-9301/P2 FHKSC DIGMESA; ; ;","0","0","0","Tidak","-"
"O-52149-00","GMP Washer - Conductivity Sensor CLS16-4C3A1R E+H p/n:010580","0","0","0","Tidak","-"
"O-52148-00","GMP Washer - Conductivity Sensor CLS54-ACS1022 E+H p/n:011983","0","0","0","Tidak","-"
"O-52150-00","GMP Washer - Conductivity Transmitter CLM253-CS7110 24VAC/DC IP65 p/n:014078","0","0","0","Tidak","-"
"O-52164-00","GMP Washer - Contactor 3P (3 NO)+1 NO+1 NC AC-3 18A 24VCC LC1D18BL Schneider p/n:011310","0","0","0","Tidak","-"
"O-52138-00","GMP Washer - Contactor 3P(3 NO)+1 NO+1 NC AC-3 9A 24VDCLC1D09BL Scheider p/n:013581","0","0","0","Tidak","-"
"O-52142-00","GMP Washer - Depressure Switch MA-TER GV600-13/-20MB SP7PY6N1.010 p/n:011372","0","0","0","Tidak","-"
"O-52155-00","GMP Washer - DI/DQ Module Simatic S7-1500 16X24CDV/16X24VDC/0 5A 6ES75231BL000AA0 Siemens p/n:013447","0","0","0","Tidak","-"
"O-52147-00","GMP Washer - Differential Pressure Transmitter MS-111-LCD Dwyer p/n:012732","0","0","0","Tidak","-"
"O-52165-00","GMP Washer - Emergency Stop Module XPSAF5130 24VAC/DC Schneider p/n:012133","0","0","0","Tidak","-"
"O-52157-00","GMP Washer - Front Connector Simatic S7-1500, Push-In, 40 Pin For 35mm 6ES75321BM000XB0 Siemens p/n:013511","0","0","0","Tidak","-"
"O-52172-00","GMP Washer - Frontal Auxilari Contact 1NO/1NC GVAE1 Schneider p/n:010268","0","0","0","Tidak","-"
"O-52181-00","GMP Washer - Fuse Omega Fusibiliti 5X20 2A/T S/IMQ COD COL BUSS-S506 ST520263 p/n:010640","0","0","0","Tidak","-"
"O-52180-00","GMP Washer - Fuse Omega Fusibiliti 5X20 2A/T S/IMQ COD COL BUSS-S506 ST520263 p/n:011007","0","0","0","Tidak","-"
"O-52174-00","GMP Washer - Fuse Omega Fusibiliti 5X20 3.15A/T S/IMQ COD COL BUSS-S506 ST520231 p/n:011332","0","0","0","Tidak","-"
"O-52182-00","GMP Washer - Fuse Omega Fusibiliti 5X20 500mA/T S/IMQ COD COL BUSS-S506 ST520150 p/n:010638","0","0","0","Tidak","-"
"O-52179-00","GMP Washer - Fuse Omega Fusibiliti 5X20 6,3A/T S/IMQ COD COL BUSS-S506 ST520263 p/n:010636","0","0","0","Tidak","-"
"O-52154-00","GMP Washer - I/O Module Intergratio PCD2.K520 Saia Burgess p/n:010762","0","0","0","Tidak","-"
"O-52168-00","GMP Washer - Inverter ATV312H037N4 0.37KW 380-500V 3P 50/60 Hz Schneider p/n:011370","0","0","0","Tidak","-"
"O-52170-00","GMP Washer - Inverter ATV312HU22N4 2.2KW 380-500V 3P 50/60 Hz Schneider p/n:010179","0","0","0","Tidak","-"
"O-52137-00","GMP Washer - Limit Switch 1NO+1NC KME3S11 Lovato Electric p/n:010540","0","0","0","Tidak","-"
"O-52136-00","GMP Washer - Linear Actuator 24 VDC 50MM, AO-01/MR p/n:010458","0","0","0","Tidak","-"
"O-52146-00","GMP Washer - Magnetic Sensor M12 D12PMPTB196LA STEMS.R.L p/n:011830","0","0","0","Tidak","-"
"O-52140-00","GMP Washer - Magnetic Sensor STEM S.R.L DIAM. 6, A0611AUEZ197L p/n:010297","0","0","0","Tidak","-"
"O-52159-00","GMP Washer - Memory Card HMI SIimatic S7-1X00 4GB 6ES79548LC020AA0 Siemens p/n:012965","0","0","0","Tidak","-"
"O-52160-00","GMP Washer - Memory Card HMI SIimatic SD 2GB 6AV21818X000AX0 Siemens p/n:013888","0","0","0","Tidak","-"
"O-52176-00","GMP Washer - Microswitch Pizza Elettrica With Roller Plunger MK 1 NO/NC MKH11D17 p/n:010785","0","0","0","Tidak","-"
"O-52178-00","GMP Washer - Power Supply Input:115/230VAC Output:24 VDC 7,5A,FLEX17024A Adelsystem p/n:011135","0","0","0","Tidak","-"
"O-52141-00","GMP Washer - Pressure Switch MA-TER GP6-- +3/+5MB, SP7PY631.005 p/n:011371","0","0","0","Tidak","-"
"O-52145-00","GMP Washer - Pressure Switch0-0.25 Bar 0.045 Bar PSA-31 (0.045 Bar) Wika p/n:014032","0","0","0","Tidak","-"
"O-52151-00","GMP Washer - Pressure Transmitter 0-0.25 Bar SA-11 Wika p/n:010849","0","0","0","Tidak","-"
"O-52152-00","GMP Washer - Pressure Transmitter 0-6 Bar SA-11 Wika p/n: 012226","0","0","0","Tidak","-"
"O-52144-00","GMP Washer - Proximity Switch PNP M8 N.OSS3N203-G GIMATIC p/n:045006","0","0","0","Tidak","-"
"O-52162-00","GMP Washer - Relay 1 Contact PRCU 1/24V AC/DC 15508.2 Contaclip p/n:013070","0","0","0","Tidak","-"
"O-52161-00","GMP Washer - Relay 2 Contact PRSU2G 1/24V AC/DC 15233.2 Contaclip p/n:013069","0","0","0","Tidak","-"
"O-52177-00","GMP Washer - Relay 208/480V PMV10A440 Lavato Electic SPA p/n:011152","0","0","0","Tidak","-"
"O-52143-00","GMP Washer - Solenoid Valve Modulflex Monostable 24 VDC P2M1TDEE2C Parker p/n:045019","0","0","0","Tidak","-"
"O-52153-00","GMP Washer - Temperatur sensor TM411-1F2H4/125 E+H p/n:0110762","0","0","0","Tidak","-"
"O-52169-00","GMP Washer - Thermal Magnetic Circuit Breaker 1.6-2.5A  GV2ME07 Schneider p/n:010195","1","0","0","Tidak","A-4-8A"
"O-52173-00","GMP Washer - Thermal Magnetic Circuit Breaker 4-6,3A GV2ME10 Schneider p/n:010460","0","0","0","Tidak","-"
"O-52171-00","GMP Washer - Thermal Magnetic Circuit Breaker 6-10A GV2ME14 Schneider p/n:010454","0","0","0","Tidak","-"
"O-52166-00","GMP Washer - Thermal Magnetic Circuit Breaker C60N 3P 16A C UL/CSA 24468 Schneider: 011107","0","0","0","Tidak","-"
"O-52163-00","GMP Washer - Thermostat 168? C 1NT08L-4288 KLIXON p/n:010144","0","0","0","Tidak","-"
"O-19591-00","Grease for High Vacuum GR AR555; Kluber; ;","0","0","1","Tidak","-"
"O-19256-00","Grendel Pintu Sliding Stanless Steel; ; ;","0","0","0","Tidak","-"
"Q-10931-00","Grendel Slot Pintu Geser","0","0","0","Tidak","-"
"O-19866-00","Grill Fan (cover kipas) 12x12 cm","6","0","0","Tidak","A-4-15A"
"O-17597-00","Guide Belt Model : FRB-7701 Hualian","0","0","0","Tidak","-"
"T-80184-00","Gunting Besar (8,5 Inch); pc","0","0","0","Tidak","-"
"Q-10902-00","Gypsum 9 mm;No Brand;;pack size per lembar","0","0","0","Tidak","-"
